sheet,method,run_id,pipe_id,points_before,points_after,length_px_before,length_px_after,length_change_px,length_change_percent,max_discarded_deviation_px,retained_topology,retained_length_budget,retained_deviation,retained_reversal
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-93,56,14,766.398634438433,765.9961767006687,-0.40245773776427995,-0.05251284640651465,0.7513188404400595,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-94,56,6,979.3335161911275,979.1754586503237,-0.1580575408038385,-0.016139296592090888,0.5916493665036002,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-95,2,2,7.440000000000055,7.440000000000055,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-96,2,2,7.440000000000055,7.440000000000055,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-97,4,2,32.84292707884586,32.838233813651016,-0.004693265194845253,-0.01429003323479102,0.12351455997941294,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-98,4,2,21.959999999999923,21.959999999999923,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-99,5,2,52.27434122767362,52.2696087607323,-0.004732466941320013,-0.009053135496645307,0.2815555797895961,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-100,4,2,41.068761851314626,41.068761851314626,0.0,0.0,1.6077746776921858e-13,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-101,15,4,201.43030142961913,201.41147489230164,-0.018826537317494285,-0.009346427614850382,0.23127033812869063,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-102,4,2,34.92053096305605,34.920206184958374,-0.00032477809767783583,-0.0009300491393485189,0.07340162845606994,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-103,4,2,43.56053096305638,43.560165288943004,-0.00036567411337529165,-0.0008394620205282147,0.08264431450433304,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-104,3,2,10.32289029353378,10.319999999999709,-0.002890293534070665,-0.02799887872373432,0.12000000000000455,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-105,4,2,36.84054052957326,36.84019543922115,-0.0003450903521127202,-0.0009367135963591615,0.07661197141744791,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-106,8,2,150.0,150.0,0.0,0.0,1.4210854715202004e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-107,13,2,225.240530963056,225.24003196590078,-0.000498997155204961,-0.00022153968163341202,0.11277568990865046,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-108,6,2,79.68000000000006,79.68000000000006,0.0,0.0,7.105427357601002e-15,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-109,4,2,32.039999999999964,32.039999999999964,0.0,0.0,3.552713678800501e-15,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-110,4,2,47.86467536350884,47.85728784626221,-0.00738751724662734,-0.015434173929986474,0.29186777246705636,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-111,7,2,84.60089547252048,84.60008510634019,-0.0008103661802891793,-0.0009578695068923913,0.10859563543536603,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-112,3,2,16.800857120992525,16.800857120992525,0.0,0.0,8.038873388460929e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-113,3,2,43.68082218090521,43.679999999999836,-0.0008221809053736706,-0.0018822468633227368,0.12000000000011823,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-114,3,2,14.760845028516597,14.760487796817321,-0.00035723169927592835,-0.002420130409782025,0.05073003076240944,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-115,6,2,110.06000000000006,110.06000000000006,0.0,0.0,1.4210854715202004e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-116,17,6,169.12723435519393,169.030981634055,-0.09625272113893857,-0.05691142618508893,0.3394112549694841,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-117,36,2,702.5999999999999,702.5999999999999,0.0,0.0,1.1368683772161603e-13,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-118,66,8,1004.0477950847306,1003.4436876199479,-0.6041074647827145,-0.06016720197385966,0.95227770289577,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-119,27,7,334.8655483880307,334.6377981145854,-0.22775027344528098,-0.06801245292076802,0.6604275392235193,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-120,2,2,7.079999999999927,7.079999999999927,0.0,0.0,0.0,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-121,4,2,23.338977153888752,23.33452377915607,-0.0044533747326838125,-0.019081276370082004,0.16970562748477783,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-122,11,3,152.23864499436917,152.20034997768047,-0.03829501668869284,-0.025154596383926864,0.3021054025275871,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-123,4,2,33.2405405295729,33.24021660579223,-0.00032392378066958827,-0.0009744840953515936,0.07191288878622494,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-124,5,2,53.88054052957311,53.880133630123815,-0.0004068994492953948,-0.0007551881352639033,0.09033385168318905,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-125,4,2,31.92052172926814,31.920225563112876,-0.00029616615526251167,-0.0009278236670892348,0.0681198193822544,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-126,4,2,34.20056073541944,34.200210525667636,-0.00035020975180088953,-0.001023988333145072,0.0749469070687137,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-127,10,2,173.16000000000008,173.16000000000008,0.0,0.0,1.4210854715202004e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-128,4,2,29.160560735419473,29.160246912534735,-0.0003138228847383573,-0.0010761894724376018,0.0671599251498923,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-129,10,2,178.20000000000005,178.20000000000005,0.0,0.0,1.4210854715202004e-14,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-130,34,5,548.3323675698172,548.0254882257859,-0.3068793440312447,-0.055965936388420644,0.9445490671840977,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-131,36,6,562.2301820119005,562.0736966849041,-0.15648532699640327,-0.027832964505112787,0.5091168824543335,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-132,32,8,388.5269768446584,388.25062349583015,-0.2763533488282519,-0.07112848406887948,0.6530060115532658,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-133,26,8,266.4315597982278,266.2045292934107,-0.22703050481709397,-0.08521156614817975,0.8985416894268307,,34,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-134,30,6,427.4696739770312,427.31361660016785,-0.15605737686337307,-0.036507239311614495,0.5091168824544422,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-135,23,6,301.6209059250189,301.3397641663675,-0.28114175865141533,-0.09321030244544966,0.9130207634187857,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-136,32,5,476.49765336853847,476.2347509206014,-0.2629024479370514,-0.05517392290990241,0.916003846206259,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-137,57,13,712.7858426427193,712.1620654037348,-0.6237772389845304,-0.08751257413753039,0.9405022288671293,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-138,32,5,493.38095518784445,493.01515014273025,-0.3658050451142003,-0.07414251427174114,0.9431044491257679,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-139,54,14,656.241234835468,655.6921642461868,-0.5490705892812002,-0.083669016839343,0.7539443724760849,,,,
W-50-1-A-0011,dimension,61f8826e8361b7e8284d5a9e,pipe-140,54,14,656.6523857245605,656.0398909268118,-0.6124947977486954,-0.09327534797164547,0.7150514877524667,,,,
W-50-1-A-0011,llm,3476168078342fac759efb09,pipe-1,14,4,105.29217461660784,105.24071505165772,-0.05145956495012172,-0.04887311439572543,0.2758539701434843,,,,
W-50-1-A-0011,llm,3476168078342fac759efb09,pipe-2,14,4,106.03929876977108,105.99216196945183,-0.04713680031925094,-0.04445219919983888,0.45996090845017557,,7,,
W-50-1-A-0011,llm,3476168078342fac759efb09,pipe-3,13,4,128.38052526636065,128.37794497454726,-0.002580291813387703,-0.0020098779063523683,0.09418088988616605,,4 6,,
W-50-1-A-0011,llm,3476168078342fac759efb09,pipe-4,16,3,198.15967242930935,198.01539201510303,-0.14428041420632098,-0.07281018001167264,0.7045442775473453,,,,
W-50-1-A-0011,llm,3476168078342fac759efb09,pipe-5,16,3,182.00690542288106,181.87632145363955,-0.1305839692415134,-0.07174671144378293,0.47592422689530006,,,,
W-50-1-A-0011,llm,3476168078342fac759efb09,pipe-6,13,3,149.53761885074005,149.40912991969574,-0.12848893104430203,-0.08592415208413368,0.4747749078021875,,,,
W-50-1-A-0011,llm,3476168078342fac759efb09,pipe-7,17,3,219.96009883172692,219.7919353880585,-0.16816344366841918,-0.07645179492170849,0.7070716932762979,,,,
W-50-1-A-0011,llm,3476168078342fac759efb09,pipe-8,17,3,226.39746348313597,226.289628493599,-0.10783498953696835,-0.047630829373227865,0.47573450831721825,,,,
W-50-1-A-0011,llm,3476168078342fac759efb09,pipe-9,18,2,304.2903013970525,304.2822374046833,-0.008063992369159223,-0.0026500983870126516,0.16222833255396243,,,,
